product,title,rating,body,date,purchase,helpful
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Lasts,5.0,Lasts,"February 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Item was defective,2.0,Was upset because one of the pack was defective i had to toss it away.,"February 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Filter doesnt work,1.0,Not good . Didn’t filter properly,"February 11, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Awesome product not the best packaging,5.0,"The media could not be loaded.
                



 I have a absolutely no issue with the brita filters. The packaging is what bothers me. I got a huuuuuge box with so much packing bubbles in it and it was for a small box of filters????? We are experiencing global WARMING people don’t excessively package this crap like this. People are dying. Donate more money to environmentally friendly packaging Jeff bezos. Thanks for coming to my Ted talk.","February 11, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Value for money,4.0,Works good.,"February 11, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Great Price, Fast Shipping",5.0,"Great Price, Fast Shipping!","February 11, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Worked as expected,5.0,Worked as expected,"February 10, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita pitcher filters,5.0,Brita pitcher water filters make utility supplied water taste like bottled water.If you have a  Brita filter there is no need to purchase bottled water for home use.Our local water  company useschloramine in it to treat bacteria. At  different times of the yeart they use so much you can smell it. The chemical is similar to chlorine. The water is also hard on rubber seals and washers.The Brita filter removes the chloramine and makes the water 100% better to drink.,"February 9, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",My filters,5.0,These are a great buy for the cost.,"February 9, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Fresher, cleaner water. No plastic bottles.",5.0,"I use my Brita every day, the filters last for at least 2 months but you can leave it for 3. Water tastes fresher than coming straight from faucet.","February 8, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Package of 3 Great offer,5.0,Package of 3 Great value for money,"February 7, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great buy,5.0,Great price for this item,"February 6, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Work great,5.0,Great to have extra filters handy,"February 6, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",not working like Brita,1.0,"These must have been a bad batch, or spin offs.  They did not seal; therefore didn't filter.Won't buy again.  Had to throw away-(emergency trip-no time to return)","February 6, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Trash,1.0,"Complete crap, most of them come clogged or get clogged quickly. Find a different brand....","February 6, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Going to need them/great value,5.0,"Great product/water difference is huge. Filters last a month, go ahead and buy 3 pack refill when you order Brita pitcher","February 6, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Never Buy this from this seller,1.0,I bought 2 packs containing 3 filters eac on 12/8/2020. None of them lasted for a week. Couple of them stopped filtering within hours. Doubt the shipment I received is fake or duplicate but are in the Blue cover labeled Brita.Never expecting such a bad quality product from such a reputed Company like BRITA!!!,"February 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Taste of water is awesome,5.0,The filters last a really long time,"February 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Worth it,5.0,We can tell the difference in the water,"February 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",3 count pack,5.0,liked the three fillter pack,"February 3, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",,5.0,,"February 2, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",IDK,5.0,very good,"February 2, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Still work,5.0,"This is the standard filter and it really works. I filter water to drink and use in a tea kettle. I do not have to scrub out the tea kettle every 3 or 4 days as before because the filter works so well to remove most of the minerals, etc. I wipe out the tea kettle about once every 3 weeks or 4 weeks now.","February 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Buen Producto,5.0,"Buen Producto, calidad precio","February 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Satisfied,5.0,Did the job  and works properly. Best buy for my money.,"February 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Thank you I got this one!,5.0,Thank you I got this one!,"January 31, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Product was exactly as described and arrived on time,5.0,Product was exactly as described and arrived on time. There was no damage. The product worked as described.,"January 31, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great for the price,4.0,"The water at our place can't be drank straight from the tap, but is fine once it's gone through these filters. It improves the taste and gets rid of a lot of the metal taste our water has. We used to use the Brita for all of our drinking water, but now only use them for our coffee and tea water.  They need to be replaced too often, for the amount of water the that two of us drink. As long as you change the filter once you start seeing debris in the top reservoir, they work pretty well.We now exclusively buy our Brita filters on amazon. One filter at a local store costs about $10 so being able to get 3 for $15 makes it so much more affordable for us.The one thing that I ,very much, dislike about the whole Brita system is the amount of waste that comes from it. I wish they would change the filters into something more sustainable.","January 31, 2021",Verified Purchase,4
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",None,5.0,None,"January 30, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",filters your water,5.0,"works as intended, not much else to say.","January 30, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",New handle is good,5.0,"At first I was concerned as it didn’t look like previous models; however, the new handle makes it much easier to remove.","January 30, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Chlorine, anyone?",5.0,"As you can see, the water from my tap is pretty much ideal for a swimming pool. And it smells like it! The Brita filters give it a marked improvement in smell and taste.","January 29, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I highly recommend.,5.0,Grate products and perfect price.,"January 28, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Buen sabor y frescura,5.0,Muy buenos buen sabor y frescura en el agua,"January 28, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Two out of three... Not Bad !,2.0,First one I opened... would not fit into the BRITA pitcherwithout leaking past the filter ???Bad filter !,"January 28, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Line up long side groove @ handle for snug fit!,3.0,No package instructions about lining up long groove on filter with pitcher handle for snug fit.  Wasted lot of time/effort and a filter (fell on floor) trying to get snug fit.,"January 28, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",A great quality health product,5.0,My Daughter loves these filters especially since she's eating and drinking healthier now,"January 27, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good value,4.0,Tight fit in my water pitcher. Good price tho.,"January 27, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great economical replacement filters,5.0,Great economical replacement filter,"January 27, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita is badass for cleaning your drinking water!,5.0,I hate drinking water unless dehydrated or ice cold. But this filter kicks ass!,"January 27, 2021",Not Verified,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great water filter,5.0,"Great water filter, last long and water flow rate quite slow.","January 27, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good buy,5.0,These last along time,"January 26, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Some filters did not fit well. Did not last too long,3.0,Some filters did not fit well.  Not long lasting,"January 26, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Grateful! Superman speed delivery!,5.0,PlusValue of the moneyMinusNoneInterestingWhat if it came with a sticker with the benefits of drinking filtered water,"January 26, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",i am pleased🥰,5.0,2 years and I still have no complaints,"January 25, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works well,5.0,Flavor of the water was good. Saves me so much on bottled water!!,"January 24, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Carbon dust in every filling,3.0,"I rinsed new filter with cold water for 30 seconds before using and I know it is normal to have carbon dust in first 1-3 fillings, but I notice carbon dust in every filling (already more than 10 fillings), which I don't think is normal.","January 24, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",EXACTLY WHAT WE WANTED,5.0,EXACTLY WHAT WE WANTED,"January 24, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I love my brita,5.0,I don’t have to buy bottled water and contribute to the plastic problem we already have.,"January 24, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Mold,1.0,All three filters had mold on the bottom meaning they're a complete waste of money.,"January 24, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Practical product,5.0,Easy to install,"January 23, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",A good buy,5.0,I have ordered these before.,"January 23, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Wrong filters!!!!,1.0,"So, I ordered this a bundle Brita water system and 3 filters.  What do they send me for the filters?  Pitcher filters.  After looking back at my purchase the description for the replacement filters reads - ""Brita Standard Replacement Filters for Pitchers and Dispensers"".  Well I was led to believe from the advertisment that meant it will work with my dispenser.  I mean surely Brita would not send me filters for a dispenser that I just purchased that do not fit.  As you can plainly see from the photos above, upon inspection of the replacement filter we clearly have two different designs.  The filter on the left in both photos is the one that comes with your dispenser and the replacement is on the right in both as well.  Just goes to show all you need to work at Brita is a pulse.","January 23, 2021",Verified Purchase,4
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Excellent Buy!,5.0,I use my brita picture with these filters that clean my water otherwise I wouldn't drink water from my kitchen faucet. Its the best value and last fir 2 mo before I need to change. It's a half year before I need to buy more.,"January 23, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita filter,5.0,I use these all the time for my Brita pitcher. Wouldn't use anything else.,"January 22, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Always consistent,5.0,They worked!,"January 21, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Apparently this was a partially recycled box of filters,3.0,"I don't mind that, but it wasn't stated in the original description, and in this day and age, it's a little unnerving to have one of the filters without a wrapper next to the other wrapped ones. Box was taped closed and had an Amazon label stuck on ""Thanks to you, this product has a second life.""  That's all well and good, but should have been mentioned in the description that it was partially recycled. Plus, they should have at least slipped a plastic bag over the exposed filter, you know, Covid-19 and all of that. Hope someone washed their hands before handling it.  Yikes.","January 21, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Great product, delivery and works as expected",5.0,"Great product and service from the vendor - Waterspecialist.  I would certainly order again, next time when i need another set of replacements.","January 21, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Removes chlorine taste & smell,4.0,Do not last long at price,"January 21, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",safety,5.0,"This is the brand we always buy, I am very happy with the filter gives great tasting water","January 20, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great product,5.0,As always brita delivers,"January 20, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works perfectly - exactly as expected,5.0,Works perfectly - exactly as expected,"January 20, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",As purchased,4.0,Wonderful product as ordered. Received from ups as open shipping box.,"January 19, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Some Black Spots,4.0,Black Spots appear in the upper water tank. The original one does not have this problem,"January 19, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Repuestos,5.0,Llegan bien empaquetados muy bien cuidados y me da mucha confianza usarlos xq realmente son buenísimos el agua me la deja exquisita,"January 19, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works great,5.0,It doesn't have a flavor. It does last long and is price correctly.,"January 18, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great especially during this pandemic!,5.0,"I was using bottled water for a very long time as tap water doe not taste well. After I started using the Brita water filters, it is as good as the bottled water and less waste to the environment.","January 18, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",It really helps to get rid of the taste of water but,4.0,"It really helps to get rid of the taste of water but this filter doesn’t really last for 2 months, I used 2 filters so far and realized when it’s about 1 month, the water started to appear unclear, and both the bottom of the water container and my water cup has a layer of Clear gel type of thing. And the water start to have some taste, so I don’t know if it’s normal or the filter just good to use for a month .","January 17, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Doesn’t fit in my dispenser,2.0,Price and deliver is okay. But It doesn’t really fit in the hole where it should be placed in my Brita dispenser. Making me pretty sure it’s not properly filtering the water.,"January 17, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Not the usual great quality,1.0,I've order this exact same 3 pack before from Amazon and the second set I received is awful. The filters in the most recent pack aren't filtering correctly. My water pitcher will be half empty with the reservoir full yet won't filter the water. They just stopped filtering all together after 4 days. A waste of money to buy water filters that won't filter at all.,"January 17, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",A major taste difference.,5.0,The tap water in my town has a odd taste that makes Coffee unpleasant to drink. A friend of mine recomendeed I buy  Brita Standard filters and Picture Dispenser. Now I fell much Better drinking tap water and the Coffee tastes great.,"January 16, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita Water Filtration system,4.0,Takes too long to run water through the filtration system.,"January 16, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good product but does sometimes degrade,4.0,"We have this filter on subscribe and save and our water does taste better, it filters pretty much everything, so it works in that sense. But sometimes the filter seems to rip, leaving floating filter bits in our water, which is pretty gross. To be honest, I'm not sure what causes this (it could be something we do), so we haven't given them up completely, but it is something to be aware of before purchasing.","January 16, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",WORTH THE PRICE,5.0,I have used The Brita Filters for years; they are highly trusted and recommended to filter your water.,"January 16, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Excellent Price for Water Filters!,5.0,Work as advertised and fit well.  No problems over several years with this type and kind of filter.,"January 15, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Alternative,5.0,Great alternative from faucet filters,"January 15, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Quick delivery,5.0,"Quick delivery, quality product.","January 14, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",The order came fast,5.0,It’s ok,"January 14, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great filters,5.0,We go through a pitcher 2-3 times a day- filters are long lasting,"January 14, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Perfect,5.0,It's good. Fits my britta mug perfectly,"January 13, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good product but package was horrible,4.0,Usually a five star item but the package was opened and resealed with duck take. Had some water damage on the box too. They were individually package so I'll keep them.,"January 13, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great taste and value,5.0,Great value,"January 13, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Fresh tasting water for a low price,5.0,The star ratings speak for themselves.  Happy with the product and the price.  No complaints whatsoever.,"January 13, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good use for me,5.0,I am not sure about how to answer your questions as they don't seem applicable.  As far as I can tell it is indeed helping to purify the water.,"January 13, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Yeti makes great products,5.0,Christmas gifts.,"January 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Doesn't look good.,2.0,"The package looked like 20 years old. It's dusty, broke and fixed up by clear tapes. Bad impression.","January 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",It can't filtered!!! Just goes through it!!!!,1.0,"I was bought this  ""Brita Standard Replacement Filters for Pitchers and Dispensers, 3 Count, White"" couple month ago. and every 2month I changed filter.  However last filter is not working !!!! just draining water directly In the brita pitcher. I bought these and a couple of the filters the water goes through the filter very fast for the first time I changed one of them. I am afraid of nothing filtered and waist money.  one filter was ok, but new filter is very bad JUST GOES THROUGH the filter very fast!!!!  What is this?????I had better to buy bottles of water again !!! Instead of this filters!!!!!!!","January 12, 2021",Verified Purchase,5
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Water filter,5.0,They work as expected,"January 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Quality filters for the price.,5.0,Quality filters.,"January 12, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great value,5.0,Very pleased to have found these at such a bargain price!,"January 10, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great product,5.0,"Been a Brita user for over 10yrs, does not disappoint, will keep buying these filters","January 9, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",What’s the difference,4.0,"I realized after installing the Brita filters, I have a Pure pitcher.But that shouldn’t make a difference.  The filters fit p, they filter !After the third week, I tasted chlorine in the filtered water..","January 9, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Perfect purchase,5.0,The item came on time and works amazing! The flavor of the water is perfect! Definitely recommend!,"January 8, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita Standard Replacement Filters,5.0,THERE IS NOTHING LIKE CLEAN FRESH WATER.,"January 8, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Like,5.0,Like,"January 7, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Smashed packaged,1.0,Received the damaged and smashed package. Not sure if there is any crack or so on the filters.,"January 7, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Worth it,5.0,Worth the money 💰,"January 7, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Clean water,5.0,I love my brita water filters.... the value for 3 is excellent....better to order them on here than buy them in a store...,"January 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great filters,5.0,Filters fit Brita water pitcher.  Easy to install and use.,"January 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great Value,5.0,Great value and does a Great job.,"January 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",wrong one,2.0,It isn't clear in the description that these aren't for the filter connected to your faucet.  I ended up giving them away since I don't have a water pitcher.,"January 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Perfect!,5.0,I love getting the 3 pack delivered to my front door!,"January 5, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Taste good,5.0,"I use my brita pitcher everyday so I'd like to change the filters often and these filters are good for that. I haven't had any issues with them so far,in fact I need to order one again","January 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Got bad filters,1.0,"The first filter started to throw ""replace"" red light after 1 month and 20 gallons. The second filter throw the same red light on the day I started using it. I contacted the manufacturer, and they said they would ship me two new filters to test, but I haven't gotten them. I'll update this review if they solve my problem.","January 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Taste great!,5.0,As usual good clean water just good clean water. Filters were good value at Amazon as always.,"January 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",How it performed.,1.0,It did. the successfully  The water is fine.,"January 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good,5.0,Item is exactly what described. Came well packed. So far so good,"January 4, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",works,5.0,"I can tell when the filter is getting old, the water starts smelling like chlorine and it gives me heartburn. I am grateful for the job that the filters do.","January 2, 2021",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Nice,5.0,Good value for money,"January 2, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Replacments,5.0,"My wife uses Brita purified water 'all of the time', so I continue to buy these filters.","January 2, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Not as good as I hoped,3.0,"It’s not as good as I would have hoped. My water from my taps sometimes tastes very chlorinated and muddy. I was using Soma for a while and I swear it literally did nothing. I switched to Brita and although it’s better, it isn’t filtering everything out behave I can still taste some. Oh well! At least it’s better than nothing.","January 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Purchased for my son.,4.0,He loves them!,"January 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Reliable Filter replacement,5.0,"I recommend the Brita replacement filters - easy install, previous filters did last much longer than the ‘cheaper’ models.  Considering longevity, pricing is appropriate.","January 1, 2021",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",khaily alies,5.0,greato,"December 31, 2020",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Goooood,5.0,Simply good actually no concerns and nothing much to say,"December 30, 2020",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good Value,5.0,It fits,"December 30, 2020",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Excellent,5.0,Exactly what I needed,"December 30, 2020",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Improved taste,4.0,Noticable change in taste of water,"December 30, 2020",Verified Purchase,0
